iter	Logloss
0	0.6179255625
1	0.553968375
2	0.501492625
3	0.4563700625
4	0.4178093438
5	0.3843834375
6	0.3563194687
7	0.332180875
8	0.3114603437
9	0.2947455625
10	0.2803199375
11	0.2675492812
12	0.25653025
13	0.2471462188
14	0.2389758437
15	0.2323309688
16	0.2267297656
17	0.2217523437
18	0.2174317813
19	0.2133083125
20	0.2095075
21	0.2061849531
22	0.2032786094
23	0.2004697031
24	0.1984613281
25	0.1962993594
26	0.1944164687
27	0.19278725
28	0.1913178437
29	0.1898785156
30	0.1885020937
31	0.1872631719
32	0.1861208906
33	0.1853560312
34	0.1844968125
35	0.1838416563
36	0.1832865312
37	0.1824976094
38	0.1816920312
39	0.1809467656
40	0.1805067031
41	0.1797694219
42	0.1793347812
43	0.1788175469
44	0.1782162187
45	0.1776607031
46	0.1773292187
47	0.1768942656
48	0.1764784844
49	0.1760996875
50	0.1757275
51	0.1755269688
52	0.1750622656
53	0.1746795312
54	0.1742774062
55	0.1740908281
56	0.1738861406
57	0.1735172344
58	0.173186
59	0.1730321875
60	0.1727456094
61	0.17255425
62	0.1724139219
63	0.1721415469
64	0.1717963125
65	0.1715632656
66	0.17123075
67	0.1710154375
68	0.1708037656
69	0.1706487344
70	0.17051275
71	0.1703905938
72	0.1701647344
73	0.1700188438
74	0.1699176875
75	0.1696677344
76	0.1694931094
77	0.1693388281
78	0.1692333594
79	0.1691382031
80	0.1690027969
81	0.1688547344
82	0.1687573438
83	0.1686551719
84	0.1685334531
85	0.1683198125
86	0.1681330156
87	0.1680170781
88	0.1679187188
89	0.167741125
90	0.1675861719
91	0.1674762187
92	0.1673782969
93	0.1672908438
94	0.1671289062
95	0.1669822656
96	0.1668767656
97	0.1667783438
98	0.1666775625
99	0.1665439063
100	0.1664917187
101	0.1663895313
102	0.16633725
103	0.1662390313
104	0.1662021719
105	0.1660931563
106	0.16600725
107	0.165917
108	0.1658016719
109	0.1657321563
110	0.1656156875
111	0.1655508438
112	0.1654925469
113	0.1654222656
114	0.1653454531
115	0.1652347031
116	0.165132
117	0.1650583281
118	0.1650072656
119	0.1649182969
120	0.164852625
121	0.1647988906
122	0.1647549531
123	0.1647079531
124	0.1646175156
125	0.1645669687
126	0.1644999844
127	0.1644210781
128	0.1643695156
129	0.1643231719
130	0.1642849688
131	0.1642304844
132	0.1641528125
133	0.1641166875
134	0.1640589375
135	0.1640110469
136	0.1639730937
137	0.1638685313
138	0.163792625
139	0.1637219844
140	0.1636663281
141	0.1636277812
142	0.1635773906
143	0.1635232969
144	0.1634359687
145	0.1633712656
146	0.1632702188
147	0.1632365
148	0.1631987344
149	0.1630909375
150	0.1630527344
151	0.1629947187
152	0.1629296094
153	0.1628925938
154	0.1628557344
155	0.1628196562
156	0.1627565469
157	0.1627035625
158	0.1626473281
159	0.1626208281
160	0.1625817031
161	0.1625475
162	0.1625019062
163	0.1624590156
164	0.1623874844
165	0.1623447031
166	0.1622863906
167	0.1622322344
168	0.1622096875
169	0.1621513438
170	0.1621304219
171	0.1620811094
172	0.1620299375
173	0.1619706094
174	0.161943375
175	0.1619229375
176	0.1618377187
177	0.1618056563
178	0.1617572969
179	0.1617413906
180	0.1617023125
181	0.1616757031
182	0.1616554219
183	0.1616353437
184	0.161595625
185	0.1615513281
186	0.1615395937
187	0.1615001719
188	0.1614654844
189	0.16143425
190	0.1613857969
191	0.16135825
192	0.1613167344
193	0.1612877188
194	0.1612294531
195	0.1611886094
196	0.161158125
197	0.1610886406
198	0.1610436094
199	0.1610255
200	0.1610082187
201	0.1609769375
202	0.1609559219
203	0.1608870469
204	0.1608571562
205	0.1607952344
206	0.1607787969
207	0.1607485938
208	0.1606834219
209	0.1606447344
210	0.1606295625
211	0.1606004688
212	0.160570875
213	0.1605345625
214	0.1605145937
215	0.1604383594
216	0.1604118906
217	0.1603640469
218	0.16031325
219	0.1602915313
220	0.1602657031
221	0.1602266719
222	0.16018775
223	0.1601318906
224	0.1601232656
225	0.1601049687
226	0.1600922812
227	0.1600625938
228	0.160042625
229	0.1600183438
230	0.1600025625
231	0.1599755312
232	0.1599460625
233	0.1599076406
234	0.1598895938
235	0.159874375
236	0.1598272344
237	0.1598141563
238	0.1597797656
239	0.1597585313
240	0.1597176563
241	0.1596943906
242	0.1596857656
243	0.1596282187
244	0.1595868594
245	0.1595664062
246	0.1595389219
247	0.1595128281
248	0.1594885469
249	0.1594736719
250	0.15946175
251	0.1594275938
252	0.1593808281
253	0.1593454531
254	0.1593307812
255	0.1593065781
256	0.1592837344
257	0.1592480625
258	0.1592280625
259	0.1591944063
260	0.1591765313
261	0.1591564844
262	0.1591229375
263	0.1590881563
264	0.1590710312
265	0.1590348281
266	0.1590066875
267	0.1589895937
268	0.1589715312
269	0.15896075
270	0.1589424375
271	0.1589145
272	0.1588897344
273	0.1588739844
274	0.158860875
275	0.1588484219
276	0.1588182969
277	0.1588067969
278	0.1587950625
279	0.15877025
280	0.1587606875
281	0.1587495938
282	0.1587228125
283	0.1586836875
284	0.1586697031
285	0.158645125
286	0.1586150625
287	0.1585972969
288	0.1585718125
289	0.1585587187
290	0.1585402187
291	0.15851075
292	0.1584823281
293	0.1584624219
294	0.1584490937
295	0.158421875
296	0.1583859375
297	0.1583810781
298	0.1583613281
299	0.1583442031
300	0.1583287031
301	0.1583024844
302	0.1582831875
303	0.1582640469
304	0.1582385
305	0.1582211719
306	0.1581966563
307	0.1581870625
308	0.1581599844
309	0.1581460313
310	0.1581211719
311	0.158099375
312	0.1580883125
313	0.158079
314	0.1580591562
315	0.1580351875
316	0.1580230156
317	0.1580124531
318	0.1579899063
319	0.1579764531
320	0.1579595
321	0.1579388281
322	0.1579252656
323	0.1579094219
324	0.1578965781
325	0.1578664687
326	0.1578481875
327	0.1578295937
328	0.1578170937
329	0.1577894375
330	0.1577812969
331	0.1577594531
332	0.1577465625
333	0.1577357813
334	0.15770875
335	0.1576935781
