iter	Logloss
336	0.157681625
337	0.1576713281
338	0.157651
339	0.1576330938
340	0.1576181875
341	0.1575936875
342	0.1575871562
343	0.1575665781
344	0.1575559375
345	0.1575441406
346	0.1575329844
347	0.1575063906
348	0.1574968594
349	0.1574850469
350	0.1574696094
351	0.157458375
352	0.1574458281
353	0.1574363125
354	0.1574178906
355	0.1573977031
356	0.1573909844
357	0.1573789375
358	0.1573620781
359	0.1573499531
360	0.1573390469
361	0.1573288281
362	0.1573075781
363	0.157296125
364	0.1572855781
365	0.1572749844
366	0.1572587656
367	0.1572473437
368	0.1572397969
369	0.1572287969
370	0.1572205
371	0.1572096406
372	0.1571938594
373	0.1571858281
374	0.1571698438
375	0.1571580625
376	0.1571415312
377	0.1571371719
378	0.1571108438
379	0.1571047344
380	0.1570934063
381	0.1570723906
382	0.1570689844
383	0.1570599219
384	0.1570493437
385	0.1570396875
386	0.1570341563
387	0.1570127188
388	0.1570035938
389	0.1569929063
390	0.1569838125
391	0.1569783594
392	0.1569708125
393	0.1569579375
394	0.1569430469
395	0.1569352187
396	0.1569242031
397	0.1569125312
398	0.1568968594
399	0.1568924219
400	0.1568866719
401	0.1568746562
402	0.1568659844
403	0.1568568125
404	0.1568471875
405	0.1568273594
406	0.1568200469
407	0.1568137031
408	0.1568085469
409	0.1567963125
410	0.156776375
411	0.1567675781
412	0.1567635781
413	0.1567451719
414	0.1567350312
415	0.1567237812
416	0.1567127969
417	0.1567057656
418	0.1566956563
419	0.1566820625
420	0.1566728438
421	0.1566652969
422	0.1566567031
423	0.1566450625
424	0.156636875
425	0.1566252656
426	0.1566155938
427	0.156609625
428	0.1565919219
429	0.1565766094
430	0.1565670781
431	0.1565574219
432	0.156548875
433	0.1565397813
434	0.1565311406
435	0.1565255312
436	0.15652
437	0.1565105781
438	0.1565032812
439	0.1564963281
440	0.1564872344
441	0.1564802188
442	0.156452125
443	0.1564482812
444	0.1564351719
445	0.1564220781
446	0.1564115156
447	0.1563981875
448	0.1563892031
449	0.1563813906
450	0.15637375
451	0.1563685938
452	0.1563549063
453	0.1563457969
454	0.1563385625
455	0.1563323437
456	0.1563207344
457	0.1563119375
458	0.156304375
459	0.1562989844
460	0.1562928906
461	0.1562854063
462	0.1562740313
463	0.1562707031
464	0.1562665937
465	0.1562525938
466	0.1562433125
467	0.1562315781
468	0.1562258594
469	0.1562114687
470	0.1561985312
471	0.1561904844
472	0.1561807344
473	0.1561737187
474	0.1561632656
475	0.156156875
476	0.1561506875
477	0.1561435781
478	0.1561375937
479	0.1561293438
480	0.15611925
481	0.1561139844
482	0.1561057812
483	0.1561012344
484	0.1560964375
485	0.1560823594
486	0.1560767031
487	0.1560640469
488	0.1560534531
489	0.156045375
490	0.1560406875
491	0.1560368437
492	0.156028375
493	0.1560244219
494	0.1560170469
495	0.1560107969
496	0.1560029531
497	0.1559932969
498	0.1559859688
499	0.1559799844
