iter	Passed	Remaining
399	39496	9874
400	39598	9776
401	39708	9680
402	39810	9582
403	39909	9483
404	40011	9385
405	40120	9288
406	40225	9191
407	40318	9091
408	40417	8992
409	40518	8894
410	40617	8795
411	40724	8698
412	40825	8600
413	40936	8503
414	41034	8404
415	41121	8303
416	41212	8202
417	41310	8103
418	41408	8005
419	41511	7906
420	41613	7808
421	41718	7711
422	41818	7612
423	41934	7516
424	42031	7417
425	42131	7318
426	42232	7220
427	42321	7119
428	42424	7021
429	42522	6922
430	42626	6824
431	42726	6725
432	42829	6627
433	42919	6526
434	43027	6429
435	43125	6330
436	43215	6230
437	43322	6132
438	43432	6035
439	43545	5937
440	43634	5837
441	43738	5739
442	43823	5638
443	43917	5539
444	44009	5439
445	44111	5340
446	44221	5243
447	44332	5145
448	44434	5047
449	44526	4947
450	44620	4847
451	44706	4747
452	44807	4648
453	44910	4550
454	45015	4452
455	45111	4352
456	45230	4255
457	45338	4157
458	45434	4058
459	45535	3959
460	45630	3860
461	45736	3761
462	45834	3662
463	45939	3564
464	46045	3465
465	46150	3367
466	46247	3268
467	46339	3168
468	46441	3069
469	46557	2971
470	46680	2874
471	46795	2776
472	46918	2678
473	47050	2580
474	47158	2482
475	47263	2383
476	47374	2284
477	47504	2186
478	47603	2086
479	47723	1988
480	47826	1889
481	47916	1789
482	48011	1689
483	48108	1590
484	48209	1491
485	48325	1392
486	48429	1292
487	48577	1194
488	48685	1095
489	48817	996
490	48929	896
491	49037	797
492	49137	697
493	49233	597
494	49338	498
495	49424	398
496	49514	298
497	49622	199
498	49728	99
499	49824	0
